name,course,credit,grade,cgpa
Hasan Ahmed,CS105,2,66.6,3.21
Imran Das,CS103,2,69.7,3.87
Sadia Sarker,CS102,4,79.9,2.31
Sadia Rahman,CS102,3,79.3,2.4
Sadia Sarker,CS102,4,78.6,2.43
Tania Ahmed,CS102,4,73.2,2.75
Nusrat Hossain,CS101,2,64.8,2.77
Hasan Hossain,CS104,2,72.7,3.07
Rafi Mondal,CS102,4,94.7,2.22
Ayesha Rahman,CS101,2,68.5,3.83
Rina Chowdhury,CS105,4,94.1,3.08
Ayesha Sarker,CS101,2,73.3,3.48
Ruma Das,CS101,2,80.7,3.12
Tania Mondal,CS102,2,67.5,2.53
Salam Khan,CS101,2,71.1,2.62
Salam Chowdhury,CS105,4,88.8,2.03
Tania Das,CS104,2,72.9,2.73
Rahim Khan,CS101,2,93.1,2.1
Nadim Chowdhury,CS101,3,89.5,2.4
Sadia Islam,CS102,2,96.3,2.29
Nusrat Miah,CS102,2,84.3,2.78
Shila Ahmed,CS102,2,71.7,3.73
Shila Mondal,CS104,4,70.5,3.5
Rina Miah,CS102,3,89.9,2.59
Ayesha Chowdhury,CS104,3,97.3,3.89
Hasan Chowdhury,CS105,3,68.4,3.96
Shila Mondal,CS104,4,73.0,2.89
Ruma Rahman,CS105,4,77.2,2.06
Rina Miah,CS104,2,71.3,2.23
Imran Hossain,CS105,3,87.5,2.07
Nadim Das,CS104,2,92.4,2.55
Nusrat Hossain,CS102,3,72.0,3.12
Nusrat Ahmed,CS103,3,95.3,2.62
Nusrat Rahman,CS103,4,76.8,2.75
Salam Sarker,CS101,3,71.5,2.84
Hasan Das,CS101,4,89.7,2.71
Sadia Islam,CS105,3,80.0,2.19
Arif Chowdhury,CS103,2,88.4,2.66
Mousumi Hossain,CS102,3,67.8,3.8
Nadim Sarker,CS101,3,93.7,3.04
Sadia Rahman,CS102,3,89.9,2.86
Rina Miah,CS101,2,97.8,2.53
Imran Ahmed,CS102,2,73.9,2.64
Imran Mondal,CS105,2,64.7,2.34
Rina Khan,CS102,3,81.8,3.78
Imran Ahmed,CS105,4,61.6,3.76
Sadia Islam,CS101,2,77.8,2.96
Tania Khan,CS104,3,80.0,2.32
Sadia Miah,CS104,2,89.3,2.27
Nadim Khan,CS105,4,97.3,3.16
Ruma Mondal,CS104,4,100.0,2.26
Rahim Das,CS103,4,66.5,3.67
Shila Sarker,CS104,4,96.6,3.36
Ruma Ahmed,CS104,2,73.2,3.46
Fatema Ahmed,CS105,3,74.3,2.65
Jamal Sarker,CS103,3,63.5,3.95
Sohel Miah,CS104,4,92.0,3.19
Nadim Sarker,CS105,2,96.8,3.47
Tania Khan,CS104,2,69.9,2.24
Shila Ahmed,CS101,2,79.0,3.95
Ayesha Chowdhury,CS101,4,60.7,3.63
Nadim Hossain,CS101,3,90.4,3.83
Arif Das,CS102,4,72.5,3.32
Puja Rahman,CS104,3,69.2,3.62
Rafi Mondal,CS105,2,77.1,3.04
Rahim Khan,CS105,3,70.7,2.7
Tania Sarker,CS102,3,86.1,3.23
Puja Miah,CS104,4,79.6,3.94
Hasan Ahmed,CS102,2,65.4,2.7
Arif Islam,CS105,3,64.3,2.92
Rina Mondal,CS104,2,74.0,3.21
Mousumi Rahman,CS105,2,84.7,2.64
Shila Mondal,CS105,3,68.8,3.54
Imran Khan,CS101,4,64.1,3.94
Ayesha Mondal,CS102,2,66.0,2.94
Tania Das,CS105,3,89.8,2.75
Mousumi Das,CS103,4,83.7,2.44
Ayesha Hossain,CS104,4,75.0,2.33
Jamal Das,CS102,2,81.4,2.56
Tania Islam,CS105,3,70.1,3.49
Nadim Sarker,CS102,2,92.9,2.23
Hasan Rahman,CS103,4,71.6,2.25
Fatema Mondal,CS105,2,82.4,3.97
Shila Miah,CS103,4,93.9,3.96
Salam Ahmed,CS104,3,97.2,2.81
Salam Chowdhury,CS104,4,77.4,3.06
Sohel Khan,CS105,4,82.8,3.46
Nadim Islam,CS101,2,90.8,3.57
